Time	Position	Checkpoint
195.2	(-2.54, 3.16, -29.16)	StartPoint 3.1
195.2	(-2.54, 3.16, -29.16)	StartPoint 3.1
195.2	(-2.54, 3.16, -29.16)	StartPoint 3.1
195.2	(-2.54, 3.16, -29.16)	StartPoint 3.1
201.3	(-2.54, 3.16, -0.42)	CheckPoint 3.1
201.38	(-2.54, 3.16, -0.42)	CheckPoint 3.1
201.4	(-2.54, 3.16, -0.42)	CheckPoint 3.1
201.42	(-2.54, 3.16, -0.42)	CheckPoint 3.1
201.56	(-2.54, 3.16, -0.42)	CheckPoint 3.1
213.86	(-2.54, 3.16, -0.42)	CheckPoint 3.1
213.86	(-2.54, 3.16, -0.42)	CheckPoint 3.1
213.86	(-2.54, 3.16, -0.42)	CheckPoint 3.1
213.86	(-2.54, 3.16, -0.42)	CheckPoint 3.1
222.84	(-2.54, 3.16, 41.34)	CheckPoint 3.2
222.84	(-2.54, 3.16, 41.34)	CheckPoint 3.2
222.88	(-2.54, 3.16, 41.34)	CheckPoint 3.2
222.88	(-2.54, 3.16, 41.34)	CheckPoint 3.2
229.34	(-2.54, 3.16, 41.34)	CheckPoint 3.2
229.34	(-2.54, 3.16, 41.34)	CheckPoint 3.2
229.34	(-2.54, 3.16, 41.34)	CheckPoint 3.2
229.34	(-2.54, 3.16, 41.34)	CheckPoint 3.2
235.16	(-2.54, 3.16, 41.34)	CheckPoint 3.2
235.16	(-2.54, 3.16, 41.34)	CheckPoint 3.2
235.16	(-2.54, 3.16, 41.34)	CheckPoint 3.2
235.16	(-2.54, 3.16, 41.34)	CheckPoint 3.2
245.22	(-2.54, 3.16, 41.34)	CheckPoint 3.2
245.22	(-2.54, 3.16, 41.34)	CheckPoint 3.2
245.22	(-2.54, 3.16, 41.34)	CheckPoint 3.2
245.24	(-2.54, 3.16, 41.34)	CheckPoint 3.2
248.08	(-2.54, 3.16, 41.34)	CheckPoint 3.2
248.08	(-2.54, 3.16, 41.34)	CheckPoint 3.2
249.62	(-2.54, 3.16, 41.34)	CheckPoint 3.2
249.62	(-2.54, 3.16, 41.34)	CheckPoint 3.2
249.64	(-2.54, 3.16, 41.34)	CheckPoint 3.2
249.72	(-2.54, 3.16, 41.34)	CheckPoint 3.2
252.28	(-2.54, 3.16, 41.34)	CheckPoint 3.2
252.28	(-2.54, 3.16, 41.34)	CheckPoint 3.2
252.28	(-2.54, 3.16, 41.34)	CheckPoint 3.2
254.88	(-2.54, 3.16, 41.34)	CheckPoint 3.2
254.88	(-2.54, 3.16, 41.34)	CheckPoint 3.2
254.92	(-2.54, 3.16, 41.34)	CheckPoint 3.2
254.98	(-2.54, 3.16, 41.34)	CheckPoint 3.2
262.94	(-2.54, 3.16, 41.34)	CheckPoint 3.2
262.94	(-2.54, 3.16, 41.34)	CheckPoint 3.2
262.94	(-2.54, 3.16, 41.34)	CheckPoint 3.2
262.94	(-2.54, 3.16, 41.34)	CheckPoint 3.2
405.68	(-0.75, 8.14, 105.44)	CheckPoint 3.3
405.68	(-0.75, 8.14, 105.44)	CheckPoint 3.3
405.72	(-0.75, 8.14, 105.44)	CheckPoint 3.3
405.72	(-0.75, 8.14, 105.44)	CheckPoint 3.3
415.18	(-0.75, 8.14, 105.44)	CheckPoint 3.3
415.18	(-0.75, 8.14, 105.44)	CheckPoint 3.3
415.18	(-0.75, 8.14, 105.44)	CheckPoint 3.3
415.2	(-0.75, 8.14, 105.44)	CheckPoint 3.3
423.58	(-0.75, 8.14, 105.44)	CheckPoint 3.3
423.58	(-0.75, 8.14, 105.44)	CheckPoint 3.3
423.58	(-0.75, 8.14, 105.44)	CheckPoint 3.3
423.58	(-0.75, 8.14, 105.44)	CheckPoint 3.3
444.44	(-0.75, 8.14, 105.44)	CheckPoint 3.3
444.44	(-0.75, 8.14, 105.44)	CheckPoint 3.3
444.44	(-0.75, 8.14, 105.44)	CheckPoint 3.3
444.44	(-0.75, 8.14, 105.44)	CheckPoint 3.3
448.8	(-0.75, 8.14, 105.44)	CheckPoint 3.3
448.8	(-0.75, 8.14, 105.44)	CheckPoint 3.3
448.8	(-0.75, 8.14, 105.44)	CheckPoint 3.3
448.8	(-0.75, 8.14, 105.44)	CheckPoint 3.3
473.38	(-0.75, 8.14, 105.44)	CheckPoint 3.3
473.38	(-0.75, 8.14, 105.44)	CheckPoint 3.3
473.38	(-0.75, 8.14, 105.44)	CheckPoint 3.3
473.38	(-0.75, 8.14, 105.44)	CheckPoint 3.3
488.52	(-0.75, 8.14, 105.44)	CheckPoint 3.3
488.52	(-0.75, 8.14, 105.44)	CheckPoint 3.3
488.52	(-0.75, 8.14, 105.44)	CheckPoint 3.3
488.52	(-0.75, 8.14, 105.44)	CheckPoint 3.3
