Time	Position	Cause of Death
213	(-1.17, 4.38, 29.59)	Death Zone 3
213.02	(-1.17, 4.35, 29.67)	Death Zone 3
213.16	(-1.17, 4.05, 30.22)	Death Zone 3
213.16	(-1.17, 4.05, 30.22)	Death Zone 3
414.82	(-0.81, 4.19, 128.26)	Death Zone 3
414.84	(-0.81, 3.97, 128.26)	Death Zone 3
414.86	(-0.81, 3.75, 128.26)	Death Zone 3
414.86	(-0.81, 3.75, 128.26)	Death Zone 3
423.22	(-0.53, 4.19, 127.35)	Death Zone 3
423.24	(-0.53, 3.97, 127.45)	Death Zone 3
423.26	(-0.53, 3.75, 127.55)	Death Zone 3
423.26	(-0.53, 3.75, 127.55)	Death Zone 3
444.16	(2.18, 4.08, 137.81)	Death Zone 3
444.16	(2.18, 4.08, 137.81)	Death Zone 3
444.18	(2.18, 3.78, 137.91)	Death Zone 3
444.18	(2.18, 3.78, 137.91)	Death Zone 3
448.52	(6.78, 4.09, 116.28)	Death Zone 3
448.54	(6.81, 3.77, 116.38)	Death Zone 3
448.54	(6.81, 3.77, 116.38)	Death Zone 3
448.54	(6.81, 3.77, 116.38)	Death Zone 3
473.04	(0.88, 4.17, 140.27)	Death Zone 3
473.06	(0.88, 3.92, 140.37)	Death Zone 3
473.08	(0.88, 3.67, 140.47)	Death Zone 3
473.08	(0.88, 3.67, 140.47)	Death Zone 3
488.16	(6.87, 4.19, 144.36)	Death Zone 3
488.18	(6.87, 3.97, 144.46)	Death Zone 3
488.2	(6.87, 3.75, 144.56)	Death Zone 3
488.2	(6.87, 3.75, 144.56)	Death Zone 3
